"species","val","n"
"D. magna",125.82,2
"M. macropora",74.13,1
"C. riparius",110,1
"G. pulex",110,1
"C. dubia",66.37,1
"B. calyciflorus",62.48,1
"T. platyurus",84.09,1
"D. longispina",82,1
"H. attenuata",2.62,1
"D. japonica",8.6,1
